fold,epoch,best_ACC,best_F1,EXT_acc,EXT_f1,EXT_PCC,EXT_CCC,NEU_acc,NEU_f1,NEU_PCC,NEU_CCC,AGR_acc,AGR_f1,AGR_PCC,AGR_CCC,CON_acc,CON_f1,CON_PCC,CON_CCC,OPN_acc,OPN_f1,OPN_PCC,OPN_CCC,avg_acc,avg_f1,avg_PCC,avg_CCC
0,0,False,False,tensor(0.6057),0.59665964562667,0.26706549525260925,0.16334395813538483,tensor(0.5134),0.4440491705117819,-0.016566554084420204,-0.008956167918955728,tensor(0.5367),0.500864128641685,0.058202825486660004,0.029744399509725686,tensor(0.5079),0.5005890119744479,0.02647257223725319,0.013024617593126668,tensor(0.5048),0.4353552351952992,-0.022242341190576553,-0.010279853998216392,tensor(0.5337),0.49550343838997674,0.062586404,0.03737539066421301
0,1,False,False,tensor(0.8246),0.824115240333086,0.6985321044921875,0.636975460814476,tensor(0.5180),0.4106590781668873,0.08743049204349518,0.03807170758634189,tensor(0.6285),0.6069320533745007,0.32663199305534363,0.2047124586625195,tensor(0.5474),0.5353184205633235,0.1226881742477417,0.0538610113054048,tensor(0.5428),0.47191513353115727,0.129877969622612,0.05287916714677274,tensor(0.6123),0.569787985193791,0.27303213,0.197299961103103
0,2,False,False,tensor(0.8449),0.8446312766351677,0.7154908776283264,0.6814517477055468,tensor(0.5347),0.4639221698671655,0.2037883996963501,0.10621245788741783,tensor(0.6929),0.6835101201543329,0.44604432582855225,0.3442177330160749,tensor(0.6584),0.6540476725648614,0.38956719636917114,0.2561824984369001,tensor(0.5398),0.46702454535285287,0.1274523138999939,0.05170131864280921,tensor(0.6541),0.622627156914876,0.3764686,0.2879531511377498
0,3,False,False,tensor(0.8550),0.8547062288990097,0.7507162094116211,0.7280777692627047,tensor(0.5940),0.5581705869772162,0.3252592086791992,0.20588498182532636,tensor(0.7010),0.6939338389957427,0.48696351051330566,0.39509615907841544,tensor(0.6878),0.6856921781479712,0.45396238565444946,0.3525349879865175,tensor(0.5388),0.46491965286221776,0.15054088830947876,0.062151694142952456,tensor(0.6753),0.6514844971764315,0.43348843,0.34874911845918327
0,4,False,False,tensor(0.8596),0.8591006766259196,0.7490931153297424,0.7287777174540047,tensor(0.6138),0.5898106515333407,0.38820338249206543,0.26758883683674667,tensor(0.7065),0.6999665131524518,0.5063525438308716,0.4256163439172698,tensor(0.7096),0.707935905136502,0.4762578010559082,0.38134476711788745,tensor(0.5428),0.4604334127280577,0.1423862874507904,0.05603655149649578,tensor(0.6865),0.6634494318352544,0.45245862,0.37187284336448084
0,5,False,False,tensor(0.8510),0.8506565261271652,0.7337152361869812,0.7080156115798285,tensor(0.6280),0.605495455050658,0.4022408425807953,0.2908810498419038,tensor(0.7212),0.716036363255736,0.5130373239517212,0.42935107536449646,tensor(0.6842),0.682199151189382,0.43805834650993347,0.3368550874492053,tensor(0.5317),0.44830228419944074,0.16382071375846863,0.06616545199827979,tensor(0.6832),0.6605379559644764,0.45017448,0.36625365524674275
0,6,False,False,tensor(0.8849),0.8846737477124449,0.7851808071136475,0.7683803722291743,tensor(0.6300),0.6103617495563347,0.4082627296447754,0.29721434423126203,tensor(0.7212),0.7153809433883084,0.5200512409210205,0.4289896953599465,tensor(0.7065),0.7051372491019513,0.4976714849472046,0.40467523336256783,tensor(0.5428),0.46775318454574166,0.14194801449775696,0.05338187254996993,tensor(0.6971),0.6766613748609561,0.47062287,0.39052830354658413
0,7,False,False,tensor(0.8444),0.8439317558453672,0.7347843647003174,0.713234363472176,tensor(0.5560),0.5089094529534512,0.25219517946243286,0.15165501142786522,tensor(0.6939),0.6871549151424654,0.47291243076324463,0.3826759959417229,tensor(0.6706),0.6687134472710741,0.4461067318916321,0.32998576995037937,tensor(0.5651),0.5063138530309994,0.20738138258457184,0.09177538517486022,tensor(0.6660),0.6430046848486715,0.42267603,0.33386530519340074
0,8,False,False,tensor(0.8738),0.8734309194941225,0.7926081418991089,0.7783995095748619,tensor(0.6107),0.5876428711383972,0.4029054641723633,0.2849967579967594,tensor(0.7283),0.7240069733696617,0.5208230018615723,0.44074286782835687,tensor(0.6994),0.6978775049611821,0.4836712181568146,0.397061243889803,tensor(0.5469),0.4926625907756311,0.19652283191680908,0.08804372774619224,tensor(0.6918),0.6751241719477991,0.47930613,0.3978488214071947
0,9,False,False,tensor(0.8672),0.8670151351751845,0.7625559568405151,0.746276054487671,tensor(0.6189),0.5916786656274906,0.3862870931625366,0.26262336471958303,tensor(0.7481),0.7441868958854928,0.5511519312858582,0.4661609849640612,tensor(0.6979),0.6964151465582763,0.4760093688964844,0.37496114169017375,tensor(0.5464),0.47442712114217717,0.1533108651638031,0.06018213274854615,tensor(0.6957),0.6747445928777243,0.46586305,0.382040735722007
